A;B;C;D;E;F;G;H;I
word;type;question;correct_answer;explanation;option1;option2;option3;option4
absent-minded;meaning;What does it mean if someone is absent-minded?;They often forget things.;"""Absent-minded"" describes someone who is forgetful or not paying attention. Other options may describe different personalities but are incorrect here.";They are very focused.;They are easily annoyed.;They enjoy adventures.;They often forget things.
adventurous;meaning;Which person is the most adventurous?;Someone who enjoys trying new and risky things;"""Adventurous"" means someone likes new experiences or taking risks. The correct answer reflects this clearly.";Someone who avoids changes.;Someone who loves routine.;Someone who enjoys trying new and risky things;Someone who stays at home all the time
aggressive;meaning;If a person is aggressive, how do they usually behave?;They often act in a forceful or hostile way;"""Aggressive"" describes someone who is forceful, possibly hostile. It's often negative unless in sports or business contexts.";They are calm and quiet.;They avoid conflicts.;They often act in a forceful or hostile way;They are friendly and gentle.
ambitious;meaning;An ambitious person is someone who:;Wants to achieve a lot in life;"""Ambitious"" refers to someone who sets high goals and works hard to reach them. The other options describe lack of motivation or unrelated traits.";Wants to relax and do little;Is not interested in success;Wants to achieve a lot in life;Doesn’t plan for the future
amusing;meaning;What does it mean if something is amusing?;It makes you laugh or smile;"""Amusing"" is used to describe something funny or entertaining. Other options don’t match the tone or meaning.";It makes you sad;It makes you bored;It makes you laugh or smile;It makes you angry
arrogant;meaning;How would you describe an arrogant person?;Someone who thinks they are better than others;“Arrogant” means having too much pride and looking down on others. The correct option reflects this attitude.;Someone who respects everyone;Someone who always helps others;Someone who thinks they are better than others;Someone who is shy and quiet
brave;meaning;A brave person is someone who:;Faces danger without fear;“Brave” describes someone who has courage in difficult or dangerous situations.;Runs away from problems;Faces danger without fear;Avoids all risks;Follows others blindly
bright;meaning;"What does it mean if a child is described as ""bright""?";The child is intelligent;“Bright” in this context means clever or intelligent, not related to light.;The child likes bright colors;The child is noisy;The child is intelligent;The child is very shy
careless;meaning;What happens if you are careless when driving?;You may cause an accident;“Careless” means not paying attention or being too relaxed, which can lead to problems.;You will drive faster;You may cause an accident;You save fuel;You get to your destination faster
cheeky;meaning;If someone is being cheeky, how are they behaving?;They are slightly rude but in a playful way;“Cheeky” means being a bit rude or bold, often in a funny or playful way. It’s not always negative depending on the tone.;They are very serious;They are slightly rude but in a playful way;They are angry all the time;They are extremely polite
clever;meaning;What does it mean if someone is clever?;They are quick to learn or understand things;“Clever” means mentally sharp or smart, especially in learning or problem-solving.;They are physically strong;They are quick to learn or understand things;They are lazy;They never talk
confident;meaning;A confident person is likely to:;Speak clearly and believe in their abilities;“Confident” describes someone who trusts their abilities and feels comfortable in social or challenging situations.;Doubt themselves often;Speak clearly and believe in their abilities;Feel shy in public;Avoid responsibilities
cowardly;meaning;How does a cowardly person usually act?;They avoid danger or scary situations;“Cowardly” means lacking courage, especially in risky or dangerous situations.;They help others in danger;They protect their friends;They avoid danger or scary situations;They fight without fear
decisive;meaning;If a leader is decisive, what do they do well?;Make choices quickly and firmly;“Decisive” means being able to make decisions quickly and confidently — a useful trait in leadership.;Avoid making decisions;Make choices quickly and firmly;Always wait for others to decide;Think for a long time before acting
easy-going;meaning;An easy-going person usually:;Doesn’t get upset or worried easily;“Easy-going” refers to someone relaxed and not easily annoyed or stressed.;Gets angry quickly;Worries about everything;Doesn’t get upset or worried easily;Always tries to control others
friendly;meaning;What does it mean if someone is friendly?;They behave in a kind and helpful way;"""Friendly"" describes someone who is kind, welcoming, and pleasant to others.";They enjoy arguing;They behave in a kind and helpful way;They are very quiet;They dislike company
fussy;meaning;A fussy eater is someone who:;Is very picky about what they eat;"""Fussy"" means being overly selective or hard to please, especially about food or details.";Eats everything happily;Is very picky about what they eat;Eats too much;Always forgets to eat
generous;meaning;A generous person is someone who:;Gives or shares more than expected;"""Generous"" means willing to give time, money, or things to others freely.";Keeps everything for themselves;Gives or shares more than expected;Refuses to help;Demands rewards for giving
grateful;meaning;If you feel grateful, how do you feel?;Thankful for something someone did for you;"""Grateful"" means feeling or showing thanks for something someone has done.";Angry and upset;Thankful for something someone did for you;Jealous of others;Nervous about the future
honest;meaning;What does it mean if someone is honest?;They tell the truth and don’t lie;"""Honest"" means being truthful and fair — not lying, cheating, or stealing.";They often lie;They tell the truth and don’t lie;They hide important facts;They are good at lying
kind;meaning;A kind person usually:;Helps others and shows care;“Kind” means being nice and caring about others. The correct answer reflects this positive trait.;Is rude to everyone;Helps others and shows care;Avoids social contact;Ignores people in need
loyal;meaning;If a dog is loyal to its owner, what does it do?;Stays faithful and supports its owner;“Loyal” means being faithful and not betraying someone. It is often used to describe close relationships or friendship.;Leaves when it gets bored;Always demands food;Stays faithful and supports its owner;Barks at strangers only
mature;meaning;What does it mean if someone is mature for their age?;They behave in a responsible and adult way;“Mature” describes someone who acts sensibly and responsibly, often beyond their actual age.;They act silly all the time;They behave in a responsible and adult way;They avoid responsibilities;They always follow others
mean;meaning;What does it mean if someone is mean to you?;They treat you in a cruel or unkind way;“Mean” in this context means unkind or nasty. It can refer to rude or hurtful behavior.;They treat you in a cruel or unkind way;They are generous and helpful;They support you emotionally;They are very funny
modest;meaning;A modest person usually:;Doesn’t boast about their abilities;“Modest” means not showing off or bragging, even when successful. The correct option reflects this humble attitude.;Brags about everything;Doesn’t boast about their abilities;Always wants attention;Tells others they are the best
nasty;meaning;What does it mean if someone says you are being nasty?;You are being very unpleasant or unkind;"""Nasty"" means behaving in a mean, rude, or unpleasant way. It’s a negative trait often referring to words or actions.";You are being very pleasant;You are being very honest;You are being very unpleasant or unkind;You are being funny
nice;meaning;A nice teacher is one who:;Is kind, friendly, and pleasant;“Nice” describes someone who is friendly and behaves in a pleasant manner. The correct answer includes the positive aspects of the word.;Is very strict;Is kind, friendly, and pleasant;Gives too much homework;Doesn’t talk to students
patient;meaning;If someone is patient, how do they react to delays or problems?;They stay calm and don’t get angry;“Patient” refers to the ability to wait or deal with difficulties without getting upset.;They stay calm and don’t get angry;They shout quickly;They get annoyed immediately;They leave the situation
reliable;meaning;Why is it good to have reliable friends?;Because you can trust them to help or support you;“Reliable” means dependable — someone you can count on.;Because they forget things often;Because they are unpredictable;Because you can trust them to help or support you;Because they gossip a lot
