word,pronunciation,type,meaning,topic
absent-minded,/ˈæbsəntˈmaɪndɪd/,adj,đãng trí,CHARACTER
adventurous,/ədˈventʃərəs/,adj,thích phiêu lưu,CHARACTER
aggressive,/əˈɡresɪv/,adj,"hung hăng, hiếu chiến",CHARACTER
ambitious,/æmˈbɪʃəs/,adj,đầy tham vọng,CHARACTER
amusing,/əˈmjuːzɪŋ/,adj,làm cho buồn cười,CHARACTER
arrogant,/ˈærəɡənt/,adj,"kiêu căng, kiêu ngạo",CHARACTER
brave,/breɪv/,adj,dũng cảm,CHARACTER
bright,/braɪt/,adj,"sáng dạ, thông minh",CHARACTER
careless,/ˈkeələs/,adj,"bất cẩn, cẩu thả",CHARACTER
cheeky,/ˈtʃiːki/,adj,hỗn xược,CHARACTER
clever,/ˈklevə(r)/,adj,thông minh,CHARACTER
confident,/ˈkɒnfɪdənt/,adj,tự tin,CHARACTER
cowardly,/ˈkaʊədli/,adj,nhát gan,CHARACTER
decisive,/dɪˈsaɪsɪv/,adj,"kiên quyết, quyết đoán",CHARACTER
easy-going,/ˌiːziˈɡəʊɪŋ/,adj,"dễ tính, dễ gần",CHARACTER
friendly,/ˈfrendli/,adj,thân thiện,CHARACTER
fussy,/ˈfʌsi/,adj,"cầu kỳ, kiểu cách",CHARACTER
generous,/ˈdʒenərəs/,adj,"rộng lượng, hào phóng",CHARACTER
grateful,/ˈɡreɪtfl/,adj,biết ơn,CHARACTER
honest,/ˈɒnɪst/,adj,"thật thà, lương thiện",CHARACTER
kind,/kaɪnd/,adj,"tử tế, tốt bụng",CHARACTER
loyal,/ˈlɔɪəl/,adj,"trung thành, trung nghĩa",CHARACTER
mature,/məˈtjʊə(r)/,adj,trưởng thành,CHARACTER
mean,/miːn/,adj,keo kiệt,CHARACTER
modest,/ˈmɒdɪst/,adj,"khiêm tốn, nhu mì, thùy mị",CHARACTER
nasty,/ˈnɑːsti/,adj,"bẩn thỉu, thô tục, cáu kỉnh",CHARACTER
nice,/naɪs/,adj,"xinh đẹp, ngoan, chu đáo",CHARACTER
patient,/ˈpeɪʃnt/,adj,"kiên nhẫn, bền chí",CHARACTER
reliable,/rɪˈlaɪəbl/,adj,"chín chắn, đáng tin cậy",CHARACTER
reserved,/rɪˈzɜːvd/,adj,"kín đáo, dè dặt",CHARACTER
rude,/ruːd/,adj,"thô lỗ, man rợ, độc ác",CHARACTER
selfish,/ˈselfɪʃ/,adj,ích kỷ,CHARACTER
sensible,/ˈsensəbl/,adj,"biết điều, có óc xét đoán",CHARACTER
spiteful,/ˈspaɪtfl/,adj,"hằn học, đầy thù hận, tỏ ra ác ý",CHARACTER
stubborn,/ˈstʌbən/,adj,"bướng bỉnh, ngoan cố",CHARACTER
stupid,/ˈstjuːpɪd/,adj,"ngu ngốc, chậm hiểu",CHARACTER
tense,/tens/,adj,"căng thẳng, bồn chồn, hồi hộp",CHARACTER
tired,/ˈtaɪəd/,adj,mệt mỏi,CHARACTER
tolerant,/ˈtɒlərənt/,adj,khoan dung,CHARACTER
trust,/trʌst/,noun,"lòng tin, sự tín nhiệm (lưu ý: không phải adj)",CHARACTER
bigoted,/ˈbɪɡətɪd/,adj,tin mù quáng,CHARACTER
bitchy,/ˈbɪtʃi/,adj,có ác ý,CHARACTER
bossy,/ˈbɒsi/,adj,"hống hách, hách dịch",CHARACTER
careless,/ˈkeələs/,adj,"sơ suất, bất cẩn",CHARACTER
conceited,/kənˈsiːtɪd/,adj,"tự phụ, tự cao tự đại",CHARACTER
creative,/kriˈeɪtɪv/,adj,sáng tạo,CHARACTER
dull,/dʌl/,adj,"chậm hiểu, ngu đần, thẫn thờ",CHARACTER
garrulous,/ˈɡærələs/,adj,"nói nhiều, ba hoa, lắm mồm",CHARACTER
gentle,/ˈdʒentl/,adj,"hiền lành, dịu dàng, hòa nhã",CHARACTER
greedy,/ˈɡriːdi/,adj,tham lam,CHARACTER
gregarious,/ɡrɪˈɡeəriəs/,adj,"thích đàn đúm, thích giao du",CHARACTER
heartless,/ˈhɑːtləs/,adj,"vô tâm, nhẫn tâm",CHARACTER
industrious,/ɪnˈdʌstriəs/,adj,"cần cù, siêng năng, chăm chỉ",CHARACTER
intelligent,/ɪnˈtelɪdʒənt/,adj,"thông minh, sáng dạ, nhanh trí",CHARACTER
lazy,/ˈleɪzi/,adj,lười biếng,CHARACTER
loving,/ˈlʌvɪŋ/,adj,"âu yếm, đằm thắm",CHARACTER
loyal,/ˈlɔɪəl/,adj,"trung thành, trung nghĩa",CHARACTER
optimistic,/ˌɒptɪˈmɪstɪk/,adj,lạc quan,CHARACTER
pessimistic,/ˌpesɪˈmɪstɪk/,adj,bi quan,CHARACTER
picky,/ˈpɪki/,adj,"cầu kỳ, kiểu cách, kén cá chọn canh",CHARACTER
punctual,/ˈpʌŋktʃuəl/,adj,đúng giờ,CHARACTER
reliable,/rɪˈlaɪəbl/,adj,đáng tin cậy,CHARACTER
self-centred,/ˌselfˈsentəd/,adj,chỉ biết mình,CHARACTER
sensitive,/ˈsensətɪv/,adj,"nhạy cảm, có sự cảm thông",CHARACTER
sociable,/ˈsəʊʃəbl/,adj,"dễ gần, chan hòa, hòa đồng",CHARACTER
stingy,/ˈstɪndʒi/,adj,"keo kiệt, bủn xỉn",CHARACTER
tetchy,/ˈtetʃi/,adj,"hay bực mình, cáu kỉnh, càu nhàu",CHARACTER
timid,/ˈtɪmɪd/,adj,"rụt rè, nhút nhát, bẽn lẽn, dễ sợ hãi",CHARACTER
vain,/veɪn/,adj,"kiêu ngạo, tự phụ, tự đắc",CHARACTER
witty,/ˈwɪti/,adj,"hóm hỉnh, dí dỏm",CHARACTER
accomplice,/əˈkʌmplɪs/,noun,"kẻ đồng lõa, tòng phạm",WORDS_OF_PEOPLE
agent,/ˈeɪdʒənt/,noun,"người đại diện, đại lý",WORDS_OF_PEOPLE
altruist,/ˈæltruɪst/,noun,người giàu lòng vị tha,WORDS_OF_PEOPLE
amateur,/ˈæmətə(r)/,noun,người chơi nghiệp dư,WORDS_OF_PEOPLE
ambidexter,/ˌæmbɪˈdekstər/,noun,người thuận cả hai tay,WORDS_OF_PEOPLE
ancestor,/ˈænsestə(r)/,noun,tổ tiên,WORDS_OF_PEOPLE
antiquary,/ˈæntɪkwəri/,noun,người sưu tầm đồ cổ,WORDS_OF_PEOPLE
aristocrat,/ˈærɪstəkræt/,noun,nhà quý tộc,WORDS_OF_PEOPLE
arsonist,/ˈɑːsənɪst/,noun,kẻ gây hỏa hoạn,WORDS_OF_PEOPLE
artist,/ˈɑːtɪst/,noun,nghệ sĩ,WORDS_OF_PEOPLE
artiste,/ˌɑːˈtiːst/,noun,nghệ sĩ chuyên nghiệp,WORDS_OF_PEOPLE
assassin,/əˈsæsɪn/,noun,"kẻ ám sát, kẻ giết người",WORDS_OF_PEOPLE
autocrat,/ˈɔːtəkræt/,noun,"kẻ độc tài, người chuyên quyền",WORDS_OF_PEOPLE
bachelor,/ˈbætʃələ(r)/,noun,người đàn ông độc thân,WORDS_OF_PEOPLE
barbarian,/bɑːˈbeəriən/,noun,"người hoang dã, man rợ",WORDS_OF_PEOPLE
benefactor,/ˈbenɪfæktə(r)/,noun,người hảo tâm,WORDS_OF_PEOPLE
